"B.1.1.10. Other crops (Spices. Stimulant crops, Tobacco, Rubber and other crops), primary and processed",,,," 2,970 "," 2,567 "," 2,621 "," 2,973 "," 3,147 "," 3,365 "," 3,199 "," 3,414 "," 3,088 "," 3,064 "," 3,508 "," 3,573 "," 3,396 "," 3,734 "," 3,429 "," 3,177 "," 3,316 "," 4,016 "," 4,408 "," 4,175 "," 4,366 "," 4,055 "," 4,456 "," 4,961 "," 4,368 "," 4,890 "," 4,680 "," 4,483 "," 4,377 "," 4,741 "," 4,778 "," 4,621 "," 4,485 "," 4,590 "," 4,727 "," 4,823 "," 5,152 "," 4,906 "," 5,132 "," 4,878 "," 5,140 "," 5,116 "," 5,355 "," 5,689 "," 5,617 "," 5,899 "," 5,594 "
B.1.2. Crop residues ,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
B.1.2.1. n.a.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B.1.2.2. Other crop residues (sugar and fodder beet leaves, other)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.1.3. Fodder crops incl. grassland harvest,,,," 11,940 "," 10,344 "," 13,269 "," 12,868 "," 11,684 "," 29,085 "," 31,428 "," 31,024 "," 46,869 "," 37,443 "," 41,434 "," 43,232 "," 34,252 "," 34,733 "," 38,540 "," 38,090 "," 42,543 "," 49,209 "," 37,886 "," 38,350 "," 47,755 "," 47,997 "," 40,031 "," 37,952 "," 31,799 "," 24,427 "," 19,521 "," 20,683 "," 18,913 "," 16,770 "," 13,479 "," 14,229 "," 9,019 "," 7,614 "," 7,883 "," 9,690 "," 10,749 "," 12,387 "," 15,747 "," 16,005 "," 16,406 "," 18,930 "," 19,355 "," 20,123 "," 23,504 "," 26,672 "," 26,366 "
B.1.3.1. Fodder crops,,,," 11,940 "," 10,344 "," 13,269 "," 12,868 "," 11,684 "," 29,085 "," 31,428 "," 31,024 "," 46,869 "," 37,443 "," 41,434 "," 43,232 "," 34,252 "," 34,733 "," 38,540 "," 38,090 "," 42,543 "," 49,209 "," 37,886 "," 38,350 "," 47,755 "," 47,997 "," 40,031 "," 37,952 "," 31,799 "," 24,427 "," 19,521 "," 20,683 "," 18,913 "," 16,770 "," 13,479 "," 14,229 "," 9,019 "," 7,614 "," 7,883 "," 9,690 "," 10,749 "," 12,387 "," 15,747 "," 16,005 "," 16,406 "," 18,930 "," 19,355 "," 20,123 "," 23,504 "," 26,672 "," 26,366 "
B.1.3.2. Biomass harvested from grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.1.5. Wood primary and processed,,,," 48,183 "," 60,576 "," 53,237 "," 51,740 "," 57,479 "," 54,595 "," 41,629 "," 32,243 "," 42,051 "," 49,877 "," 56,909 "," 68,991 "," 70,122 "," 47,642 "," 56,047 "," 66,847 "," 68,030 "," 69,586 "," 82,535 "," 82,674 "," 83,916 "," 73,140 "," 71,687 "," 72,576 "," 68,384 "," 87,879 "," 91,931 "," 97,422 "," 87,166 "," 83,225 "," 77,791 "," 72,655 "," 60,654 "," 69,096 "," 70,827 "," 78,081 "," 78,547 "," 85,141 "," 93,220 "," 82,250 "," 76,147 "," 91,964 "," 105,163 "," 135,771 "," 130,323 "," 142,311 "," 96,093 "
"B.1.5.1. Timber, primary and processed",,,," 31,457 "," 43,082 "," 37,625 "," 37,949 "," 38,985 "," 37,515 "," 26,056 "," 22,723 "," 30,591 "," 38,692 "," 43,665 "," 49,718 "," 51,898 "," 32,453 "," 38,498 "," 44,557 "," 44,005 "," 44,118 "," 56,096 "," 53,824 "," 51,357 "," 42,752 "," 40,314 "," 40,360 "," 34,725 "," 51,095 "," 48,197 "," 40,215 "," 38,780 "," 38,598 "," 45,776 "," 49,287 "," 38,731 "," 46,297 "," 46,401 "," 46,122 "," 44,995 "," 51,054 "," 55,070 "," 45,727 "," 44,666 "," 51,565 "," 58,891 "," 68,137 "," 62,286 "," 69,787 "," 45,685 "
"B.1.5.2. Wood fuel and other extraction, primary and processed",,,," 16,726 "," 17,494 "," 15,613 "," 13,791 "," 18,494 "," 17,081 "," 15,573 "," 9,521 "," 11,459 "," 11,185 "," 13,244 "," 19,273 "," 18,224 "," 15,189 "," 17,549 "," 22,290 "," 24,025 "," 25,468 "," 26,439 "," 28,850 "," 32,560 "," 30,388 "," 31,372 "," 32,215 "," 33,659 "," 36,784 "," 43,734 "," 57,206 "," 48,386 "," 44,628 "," 32,015 "," 23,368 "," 21,923 "," 22,798 "," 24,427 "," 31,959 "," 33,552 "," 34,088 "," 38,150 "," 36,523 "," 31,481 "," 40,400 "," 46,272 "," 67,634 "," 68,037 "," 72,524 "," 50,408 "
